0 SIL nothing nothing nothing
1 take_bowl taking X bowl
2 pour_cereals pouring cereal bowl
3 pour_milk pouring milk X
4 stir_cereals stirring cereal bowl
5 take_cup taking X cup
6 pour_coffee pouring coffee X
7 pour_sugar pouring sugar X
8 spoon_sugar adding sugar spoon
9 stir_coffee stirring coffee cup
10 pour_oil pouring oil pan
11 crack_egg cracking egg X
12 fry_egg frying egg pan
13 put_egg2plate putting egg plate
14 take_plate taking X plate
15 add_saltnpepper adding spice X
16 take_eggs taking egg X
17 butter_pan melting butter pan
18 cut_orange slicing orange knife
19 take_squeezer taking squeezer X
20 squeeze_orange squeezing orange X
21 pour_juice pouring juice X
22 take_glass taking X glass
23 take_knife taking X knife
24 spoon_powder adding cocoa spoon
25 stir_milk stirring milk X
26 spoon_flour adding flour spoon
27 stir_dough stirring batter X
28 pour_dough2pan pouring batter pan
29 fry_pancake frying pancake pan
30 put_pancake2plate putting pancake plate
31 pour_flour pouring flour X
32 cut_fruit cutting fruit knife
33 put_fruit2bowl putting fruit bowl
34 peel_fruit peeling fruit knife
35 stir_fruit stirring fruit X
36 cut_bun slicing bread knife
37 take_butter taking butter X
38 smear_butter smearing butter X
39 take_topping taking topping X
40 put_toppingOnTop putting topping X
41 put_bunTogether stacking bread X
42 stir_egg stirring egg X
43 pour_egg2pan pouring egg pan
44 stirfry_egg scrambling egg pan
45 add_teabag adding teabag X
46 pour_water pouring water X
47 stir_tea stirring tea X
